child_id,age_months,mlu,mlum,mluw,ttr,brown_stage,vocd,mattr,w2v_score,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,score_early_nouns,score_action_words,score_social_words,score_descriptors,score_late_complex,score_cdi,topic_early_nouns,topic_action_words,topic_social_words,topic_descriptors,topic_late_complex,mixture_cluster,mix_prob_1,mix_prob_2,mix_prob_3,mix_prob_4,mix_prob_5,mix_prob_6,mix_prob_7,mix_prob_8
Adam,32.03333333333333,2.71,2.71,2.72,0.3257142857142857,III,100.47674426932717,0.5507226483649577,0.25701964,0.4619573865608045,0.23999484062294646,-0.25929691742668237,-0.24268938670146606,-0.18478170796874752,-0.12252818642160491,0.017172705556709942,-0.05008370363794614,-0.032934756025630965,-0.0024081615787361014,0.02098178939034046,0.08669833729216152,0.13064133016627077,0.012668250197941409,0.007125890736342043,0.28978622327790976,0.00011027773871319368,0.00010998177458532155,0.09706078469753265,0.9026090502738953,0.00010993161413352937,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,32.53333333333333,2.14,2.14,2.14,0.3742857142857143,II,112.77108750016369,0.6112092534174554,0.17087102,0.48229958009547547,0.2732327323465351,-0.2899069262277875,-0.24205983402528367,-0.17091043378151902,-0.2021251347407636,-0.021209676923816676,-0.029580516220573394,0.05949687459054974,-0.04598060432173471,0.025115325474115838,0.07483341875961046,0.1573552024602768,0.015889287544848796,0.007688364941055869,0.2665299846232701,0.00013893797586206347,0.00013857908197678626,0.14771373569965363,0.8464852571487427,0.005523477215319872,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,33.13333333333333,2.19,2.19,2.2,0.3942857142857143,II,94.5482986038333,0.6212671755725191,0.18535215,0.49170232937796116,0.2870591743698874,-0.29066071431187374,-0.23862336815644714,-0.22763177652208524,-0.2678184403190078,-0.05261940888024749,0.06043461819228128,0.09267642536643245,-0.04267762719239292,0.033112582781456956,0.07873436350257543,0.188373804267844,0.008830022075055188,0.0051508462104488595,0.34952170713760117,0.00019455468282103539,0.027358252555131912,0.09914395213127136,0.8731098175048828,0.00019344495376572013,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,33.6,2.45,2.45,2.46,0.4085714285714286,II,93.45916429791748,0.6236402569593148,-0.025622427,0.47088741809880064,0.19001719727378683,-0.24279794736398738,-0.23351200818775572,-0.08345541707798039,-0.2464929595010802,-0.04371223334784317,0.08435353862206965,0.06433164022721852,0.03694575490728032,0.018620689655172412,0.09448275862068965,0.17586206896551723,0.011724137931034483,0.011724137931034483,0.31448275862068964,0.061167698353528976,0.00017746930825524032,0.1284487396478653,0.8034248948097229,0.006781185977160931,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,34.06666666666667,2.35,2.35,2.39,0.3542857142857142,II,80.3736376267429,0.6038549618320611,-0.12194079,0.5140089399417548,0.19886879175885386,-0.3148061141657984,-0.2996216493784806,-0.05738469364239525,-0.2932991102345142,-0.12718895679775818,0.18421757022056298,0.07570027855424258,-0.12214891574400692,0.015850815850815853,0.07412587412587412,0.17715617715617715,0.011655011655011656,0.01351981351981352,0.26573426573426573,0.0021510517690330744,0.0001254679955309257,0.1863032877445221,0.8109302520751953,0.0004899522173218429,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,34.53333333333333,2.42,2.42,2.41,0.3485714285714286,II,66.49203815054076,0.5908659549228944,-0.116292834,0.49238282060416305,0.2050677320599811,-0.3024274873490249,-0.3165298300237293,-0.0010863203689821263,-0.24522628856334283,-0.15183418202952512,0.2415852076541418,0.07871926532568767,-0.05477457714040174,0.015561959654178675,0.0760806916426513,0.14178674351585013,0.008645533141210375,0.004610951008645533,0.2478386167146974,0.00764217134565115,0.0001650399499339983,0.14792393147945404,0.8195973038673401,0.024671515449881554,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,35.0,3.08,3.08,3.09,0.3657142857142857,IV,84.55245490552181,0.6273157693776251,-0.189242,0.5492260798923536,0.15076227740704232,-0.35104816209685363,-0.20900427020877144,0.04603527972589259,-0.22189741667824325,-0.1721133200999646,0.3089029977965009,0.06981102651864703,-0.014825209895754185,0.009370314842578711,0.0850824587706147,0.13905547226386808,0.015742128935532233,0.017616191904047975,0.27211394302848574,0.00016199404490180314,0.00010632135672494769,0.24619098007678986,0.7051621079444885,0.0483785904943943,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,35.43333333333333,2.49,2.49,2.49,0.3428571428571428,II,74.03702113859224,0.609384,-0.23931688,0.5338391229587015,0.1345542296195738,-0.3758652686347436,-0.21320694979724425,0.02226895295093133,-0.2347460656489298,-0.1719641646269867,0.2870325465039797,0.09254358806940705,0.09218487295044547,0.003923107100823852,0.0584542958022754,0.17261671243624951,0.010592389172224402,0.016869360533542564,0.2789329148685759,0.0001716182305244729,0.00011194169201189652,0.37492436170578003,0.6246800422668457,0.0001119570733862929,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,35.93333333333333,3.41,3.41,3.41,0.3371428571428571,IV,68.06042603676723,0.5897757608115324,-0.28685772,0.5120215836330373,0.12878060583469964,-0.38420770104438806,-0.21564927800419048,0.11663057978758468,-0.24364142808798342,-0.1737274311905985,0.3542802581950848,0.10830473991479196,0.022466872671829695,0.006587615283267457,0.06640316205533597,0.13359683794466404,0.005270092226613966,0.0047430830039525695,0.2150197628458498,0.0014033801853656769,7.684730371693149e-05,0.3421857953071594,0.6346738934516907,0.021660082042217255,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,36.36666666666667,2.91,2.91,2.92,0.3685714285714285,III,87.58423403034294,0.596585635359116,-0.25490838,0.551046723156063,0.0961465300727699,-0.35997941595209715,-0.15936582901068744,0.07638849269830002,-0.20872766653131739,-0.12817209914261568,0.28592541717238495,0.08846790694295928,0.00598512166352488,0.016353229762878167,0.08040337966748433,0.09839193240665031,0.01362769146906514,0.025620059961842464,0.22730989370400653,0.026513617485761642,7.952235318953171e-05,0.36127758026123047,0.6120497584342957,7.954714237712324e-05,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,36.833333333333336,2.84,2.84,2.84,0.3428571428571428,III,79.13758591906412,0.6064145077720208,-0.36737257,0.576154301093561,0.02003520214753713,-0.36049732179786564,-0.0614933373739331,0.14516483455851062,-0.14759162612441332,-0.14012905288818117,0.3276229045308823,0.09234733752493052,0.060786769895344726,0.023791250959324637,0.07035047326682016,0.07623433103095421,0.01816321309797902,0.017395753389613713,0.22819135328728576,0.012018177658319473,7.458831532858312e-05,0.5574504137039185,0.4299654960632324,0.0004913574084639549,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,37.3,3.57,3.57,3.57,0.2657142857142857,IV,79.95822132805982,0.6124064171122995,-0.4899829,0.6052222869396476,-0.019897630016976784,-0.35175502835153927,-0.06805271263246111,0.12223401958535354,-0.1665420415157184,-0.17246921713705218,0.33621766169492495,0.04317666539138067,0.04873683089539628,0.008048289738430584,0.06690140845070422,0.096579476861167,0.01232394366197183,0.014839034205231388,0.20875251509054327,0.0013510617427527905,7.263126462930813e-05,0.554958701133728,0.42359691858291626,0.02002076432108879,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,37.86666666666667,3.04,3.04,3.05,0.3171428571428571,IV,70.16230196130111,0.6232069643358608,-0.5365539,0.5944422453729846,-0.023488477897749032,-0.35766064151751403,-0.07280473543360978,0.19697461829372567,-0.10696814311437113,-0.16705722833084927,0.3127471461703981,0.13673666605276072,0.036634631405117114,0.011357340720221607,0.06814404432132964,0.10526315789473684,0.009695290858725761,0.009695290858725761,0.2077562326869806,0.0005208677612245083,7.839217141736299e-05,0.6677586436271667,0.11366057395935059,0.21798159182071686,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,38.3,3.33,3.33,3.33,0.3857142857142857,IV,94.00584821656919,0.6583870967741936,-0.3306743,0.5941911226029688,0.03549367257832202,-0.35563241896650316,0.017310301330666033,0.18643065446219964,-0.09671252466626935,-0.10612164085078017,0.24027793516378765,0.0748879423934758,0.026582795765476626,0.01275422268183385,0.05446397793864185,0.09824198552223372,0.007928300586004825,0.009307135470527405,0.1992416408135126,9.477834828430787e-05,0.01844700239598751,0.6158806681632996,0.25715383887290955,0.10842369496822357,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,38.7,3.03,3.03,3.04,0.3628571428571429,IV,72.56208397705194,0.6170966940094457,-0.5820535,0.6459030298997909,-0.08616284323704665,-0.4274022046813886,0.06712476544837055,0.12854865167785348,-0.06483423185270043,-0.07325364180739713,0.2236946303103661,-0.012449445324082773,0.12323486658376659,0.008104125736738703,0.05722003929273085,0.1181237721021611,0.005893909626719057,0.01768172888015717,0.22274066797642436,6.549450336024165e-05,6.55300755170174e-05,0.809424102306366,0.1853761076927185,0.005068807862699032,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,39.13333333333333,3.27,3.27,3.27,0.3285714285714285,IV,65.32144653669566,0.6174044444444445,-0.61058015,0.6173641884344828,-0.08847941600811787,-0.32777511425819145,0.0561797451877212,0.1083535244220173,-0.03548272650439755,-0.09310692355323681,0.24695197827601653,0.07714378035634258,0.09253881303752082,0.014018691588785047,0.055782710280373834,0.12850467289719625,0.005549065420560747,0.014310747663551402,0.23130841121495327,0.0034357754047960043,8.074288780335337e-05,0.8159428834915161,0.14262884855270386,0.03791174292564392,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,39.6,3.51,3.51,3.52,0.4085714285714286,IV,71.5176794846195,0.63362224797219,-0.6483181,0.6239762653654715,-0.12672676066092642,-0.3525726951114267,0.1102041368960643,0.21327146435818245,-0.02848090648229225,-0.09542267333813534,0.1580475374546539,-0.01300939710184009,0.07258762224631571,0.01076993583868011,0.04995417048579285,0.11251145737855178,0.004124656278643446,0.014207149404216315,0.20692025664527955,5.961716306046583e-05,5.938463073107414e-05,0.9153687357902527,0.016627231612801552,0.06788503378629684,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,40.03333333333333,3.19,3.19,3.21,0.3457142857142857,IV,78.25001823828033,0.651046480021745,-0.6601035,0.6394217181914391,-0.13455150619305528,-0.32366776155229376,0.0973854737445573,0.17873326725407118,0.008698501191408498,-0.05085542428898484,0.18473492709234124,-0.028260622259672075,0.05528543456591039,0.008583690987124463,0.04586909871244635,0.10836909871244635,0.009656652360515022,0.0203862660944206,0.18589055793991416,7.244454900501296e-05,7.22350159776397e-05,0.8476846218109131,0.03152027353644371,0.12065044790506363,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,40.6,3.86,3.86,3.87,0.4,V,86.39631270794779,0.6350998735777498,-0.5278899,0.6270567223987029,-0.16109448657980832,-0.36184410247652765,0.15833478509852641,0.11948151719287885,-0.05017669372899162,0.015719443550050494,0.1484164325257291,-0.11249903883761164,0.07565944653791326,0.012237762237762238,0.04695304695304695,0.07992007992007992,0.007742257742257742,0.023226773226773228,0.17432567432567433,6.818066322011873e-05,6.796584784751758e-05,0.9487181305885315,0.05107760429382324,6.816750101279467e-05,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,41.03333333333333,3.27,3.27,3.27,0.3428571428571428,IV,91.487851538793,0.6560558089616313,-0.5171879,0.6226271240717813,-0.12317726394496072,-0.36753834890166026,0.1814558131492591,0.10192801611116152,-0.05561064466670255,-0.005174465878548534,0.12861269952509827,-0.0406763663736576,0.10809361964638452,0.008209745762711865,0.04952330508474576,0.1329449152542373,0.00423728813559322,0.026483050847457626,0.2266949152542373,6.770916661480442e-05,0.015579205937683582,0.9086413383483887,0.0756441056728363,6.769338506273925e-05,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,41.5,3.81,3.81,3.82,0.4057142857142857,V,90.32619319911124,0.6757922769640479,-0.3466913,0.6665718008770112,-0.1575480306644123,-0.30559030189091096,0.16855457923024963,0.09020816258826568,0.005925036860330723,-0.007801098301982757,0.1326571455840044,0.020618203168345794,0.11515535334797496,0.021945627251883395,0.040288241074353096,0.10612512283000328,0.008516213560432362,0.021290533901080905,0.20471667212577793,8.439919474767521e-05,0.004386720713227987,0.865318775177002,0.040610674768686295,0.08959940820932388,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
