file_id,child_id,age_months,mlu,brown_stage,vocd,mattr,w2v_score
63,Eve,22.0,2.85,III,66.6486674126834,0.5373416731821735,-0.93852735
64,Eve,22.0,2.69,III,56.939123810743176,0.5331740104555638,-0.6568045
65,Eve,23.0,2.65,III,58.322944701048506,0.5586768935762225,-0.6053307
66,Eve,23.0,3.37,IV,58.649707646800046,0.5810171428571428,-0.4198399
67,Eve,24.0,3.38,IV,59.05171584149786,0.5489037656903766,-0.35328627
68,Eve,24.0,2.79,III,84.61763121855809,0.5916211604095563,-0.049794912
69,Eve,25.0,3.36,IV,71.59990626504815,0.6030350194552528,-0.03572321
70,Eve,25.0,3.18,IV,79.11924200065376,0.608655737704918,-0.14929512
71,Eve,26.0,3.5,IV,93.72511530374823,0.6072761194029851,-0.19662642
72,Eve,26.0,3.17,IV,84.19936737981438,0.5984770642201835,-0.095119745
73,Eve,27.0,3.71,IV,87.3792901509075,0.6310657095527332,-0.0075577497
74,Eve,27.0,2.19,II,74.12775453776995,0.6247686116700201,-0.10030168
75,Sarah,27.17,1.26,I,38.613783029407024,0.6183673469387755,-1.199294
76,Sarah,27.23,1.48,I,29.473780762022646,0.4585211267605634,-1.4665034
77,Sarah,27.63,1.08,I,41.78783087188774,0.5244444444444445,-1.1535903
78,Sarah,27.73,1.06,I,35.13377429591831,0.5504878048780488,-1.2302779
79,Sarah,27.87,0.79,I,23.350922502361396,0.52,-1.1919827
80,Sarah,27.93,0.99,I,37.56638395726416,0.5105069124423963,-1.4009919
81,Sarah,28.33,0.95,I,40.63711317510889,0.4910756972111554,-1.40513
82,Sarah,28.4,1.29,I,27.974458681936103,0.40824175824175823,-1.5121133
83,Sarah,28.57,0.91,I,51.24137169859316,0.602027027027027,-0.7510438
84,Sarah,28.63,1.22,I,40.674856911080724,0.49142857142857144,-1.2302976
85,Sarah,28.87,0.91,I,45.23201090159878,0.5189516129032258,-1.4619668
86,Sarah,29.23,1.11,I,48.95681366453883,0.52152466367713,-1.1832271
87,Sarah,29.5,1.11,I,28.96385329052879,0.5014728682170543,-1.5477874
88,Sarah,29.83,1.55,I,15.904995563293568,0.3715151515151515,-1.164095
89,Sarah,30.0,1.2,I,27.68139097575592,0.4587412587412587,-1.4727148
90,Sarah,30.13,0.8,I,54.583024989236065,0.6434343434343435,-1.0700899
91,Sarah,30.43,1.04,I,49.27809669493849,0.5725714285714285,-0.8179812
92,Sarah,30.67,1.43,I,70.45131786213871,0.5383673469387755,-0.8318757
93,Sarah,31.0,1.44,I,24.759475296698355,0.5168115942028986,-0.8669561
