child_id,age_months,mlu,mlum,mluw,ttr,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,score_early_nouns,score_action_words,score_social_words,score_descriptors,score_late_complex,score_cdi,topic_early_nouns,topic_action_words,topic_social_words,topic_descriptors,topic_late_complex,mixture_cluster,mix_prob_1,mix_prob_2,mix_prob_3,mix_prob_4,mix_prob_5,mix_prob_6,mix_prob_7,mix_prob_8
Adam,27.133333333333333,2.0,2.0,2.0,0.3142857142857143,0.30847466208028795,0.39546230347448674,-0.07536609977008885,-0.18587229667024172,-0.2461708428618237,-0.0694093590213592,0.18789097122056295,0.15384895298795234,-0.21326010665282916,-0.002930216204336439,0.044524669073405534,0.10268752507019654,0.20938628158844766,0.011231448054552748,0.00040112314480545525,0.3842759727236262,0.00010471201676409692,0.0038810912519693375,0.00010426987864775583,0.9958049654960632,0.00010501534416107461,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,27.6,1.89,1.89,1.91,0.3428571428571428,0.3043197711710745,0.43056568097474757,-0.15137555857670332,-0.17345732103907477,-0.33727562025918695,-0.1164226367190519,0.1925947663814309,0.20688658391932965,-0.27609930285867956,0.005851293378666293,0.047492401215805474,0.09954407294832827,0.14475683890577506,0.010638297872340425,0.003799392097264438,0.3913373860182371,9.250871516996995e-05,0.018735751509666443,9.251800656784326e-05,0.9809860587120056,9.32459079194814e-05,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,28.1,2.33,2.33,2.33,0.3514285714285714,0.4128568976559048,0.4596865408594568,-0.2077821807175614,-0.30149512685350915,-0.3668574989027333,-0.08602498024964599,0.22460585663669236,0.19786701780412808,-0.19900135700187593,-0.03563046861895408,0.05682951146560319,0.09820538384845463,0.11714855433698904,0.03290129611166501,0.00897308075772682,0.42572283150548357,0.00012462430458981544,0.000125380844110623,0.00012459517165552825,0.999500036239624,0.00012535451969597489,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,28.5,1.77,1.77,1.77,0.3485714285714286,0.4076646185764755,0.41622689476405644,-0.1872133323641257,-0.24003906241747516,-0.33541511422905645,-0.09906624133612706,0.14233961881288054,0.18249138267037573,-0.1626151152578725,0.08009341004129401,0.035880398671096346,0.03986710963455149,0.21328903654485049,0.016611295681063124,0.009966777408637873,0.3568106312292359,0.00016770686488598585,0.00016855394642334431,0.00016725405293982476,0.9974374771118164,0.0020590254571288824,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,29.0,1.93,1.93,1.96,0.3742857142857143,0.38421980893887997,0.37309937414585226,-0.2239478698405519,-0.27002059224158564,-0.30110531026706544,-0.14529515395362286,0.11093356868526022,0.1482732246882834,-0.14123834199905783,0.03265421630147709,0.025267249757045675,0.06268221574344024,0.15840621963070942,0.01652089407191448,0.00826044703595724,0.32215743440233235,0.00012622018402907997,0.00012585947115439922,0.00012568297097459435,0.9994961619377136,0.0001261030847672373,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,29.4,2.22,2.22,2.22,0.3028571428571429,0.3780434554542307,0.38886693426848007,-0.236784870155866,-0.26895901866758654,-0.32694381686837665,-0.21483484189177998,0.1055768910128214,0.16997670435808543,-0.19449116138939973,0.07311029993071952,0.028841111693759833,0.04929208180388044,0.13476664918720505,0.013633980073413739,0.009963293130571578,0.2779234399580493,0.00013243535067886114,0.00013267902249936014,0.00013173342449590564,0.9994705319404602,0.00013261660933494568,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,30.1,2.16,2.16,2.16,0.34,0.4834008021979621,0.36545045201015575,-0.2825767615606495,-0.2886445838624075,-0.27811381542790115,-0.23695312548953593,0.11847763984665292,0.14378794460687544,-0.07103879507612222,0.024900591914352708,0.030048608042421564,0.07335395492708793,0.16084843128590368,0.015024304021210782,0.007070260715863898,0.3119752540874945,0.00011614658433245495,0.00011616688425419852,0.027468381449580193,0.972183108329773,0.00011624107719399035,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,30.566666666666663,3.01,3.01,3.02,0.3457142857142857,0.49786379479780646,0.33441172177468087,-0.2893991301380835,-0.30584281764464183,-0.29356504949945994,-0.25645356500998673,0.06189782439518874,0.14213042711014867,-0.09402479259765496,-0.008780904207900618,0.006612410986775178,0.09053916581892167,0.15462868769074262,0.002034587995930824,0.004577822990844354,0.23957273652085453,0.0001429671247024089,0.0001423080248059705,0.12761938571929932,0.8719522356987,0.00014308768732007593,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,31.033333333333335,2.56,2.56,2.56,0.4085714285714286,0.4730704413160021,0.3105260607010429,-0.2828681576401096,-0.22905772804774854,-0.2814338851826703,-0.24508760881382516,0.09833504458983656,0.08247265074127431,-0.11132792577304543,0.054803725188642224,0.023029229406554472,0.05934455270150576,0.1550044286979628,0.007528786536758193,0.003985828166519044,0.26439326837909655,0.002285219728946686,0.00011385951802367344,0.06622885912656784,0.9312584400177002,0.00011366597755113617,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,31.466666666666665,2.3,2.3,2.3,0.3514285714285714,0.46899400463932,0.3306727468460419,-0.23669371982971235,-0.17083661445594528,-0.21487842069935414,-0.15458148744363265,0.05306452206091577,0.076934323389903,-0.05214829605335353,-0.06338025798292236,0.027700831024930747,0.0854768500197863,0.14998021369212505,0.026513652552433715,0.007914523149980214,0.2821527502967946,0.00010475353337824345,0.008583957329392433,0.09114431589841843,0.8080019354820251,0.09216504544019699,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,32.03333333333333,2.71,2.71,2.72,0.3257142857142857,0.4926863421553089,0.24723152159512007,-0.250858009741998,-0.21419645885533836,-0.16310767399490889,-0.17973962848611194,0.011272950086864417,0.020897871294653734,-0.03451360255616225,0.0045040021269820004,0.02098178939034046,0.08669833729216152,0.13064133016627077,0.012668250197941409,0.007125890736342043,0.28978622327790976,0.00011027773871319368,0.00010998177458532155,0.09706078469753265,0.9026090502738953,0.00010993161413352937,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,32.53333333333333,2.14,2.14,2.14,0.3742857142857143,0.515446017347039,0.27333384971905106,-0.27507005673546253,-0.22117677233179917,-0.14952721560453458,-0.22408655374203362,-0.012769273717561185,0.015040767625395503,0.0582201047606931,-0.05524912466803109,0.025115325474115838,0.07483341875961046,0.1573552024602768,0.015889287544848796,0.007688364941055869,0.2665299846232701,0.00013893797586206347,0.00013857908197678626,0.14771373569965363,0.8464852571487427,0.005523477215319872,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,33.13333333333333,2.19,2.19,2.2,0.3942857142857143,0.5196799523377053,0.29832397487404577,-0.2641358242631637,-0.19175253657154853,-0.20701732014444243,-0.29861236932241275,-0.04679127588134581,-0.0826795324293259,0.09502966670933695,-0.024049773641930585,0.033112582781456956,0.07873436350257543,0.188373804267844,0.008830022075055188,0.0051508462104488595,0.34952170713760117,0.00019455468282103539,0.027358252555131912,0.09914395213127136,0.8731098175048828,0.00019344495376572013,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,33.6,2.45,2.45,2.46,0.4085714285714286,0.517747571621146,0.20191964239494176,-0.24357174686994407,-0.20884724810220545,-0.07246559200824845,-0.2650940299654009,-0.028655040508894832,-0.09656206613094061,0.07116628213846068,0.05610948647531401,0.018620689655172412,0.09448275862068965,0.17586206896551723,0.011724137931034483,0.011724137931034483,0.31448275862068964,0.061167698353528976,0.00017746930825524032,0.1284487396478653,0.8034248948097229,0.006781185977160931,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,34.06666666666667,2.35,2.35,2.39,0.3542857142857142,0.5505219648396458,0.21106215552801516,-0.2961776228941555,-0.26596548290617245,-0.03492384473506796,-0.3041143778083099,-0.13143080485893818,-0.18315465765044356,0.11775361486151029,-0.1040362066177938,0.015850815850815853,0.07412587412587412,0.17715617715617715,0.011655011655011656,0.01351981351981352,0.26573426573426573,0.0021510517690330744,0.0001254679955309257,0.1863032877445221,0.8109302520751953,0.0004899522173218429,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,34.53333333333333,2.42,2.42,2.41,0.3485714285714286,0.5357953830671476,0.22300997407102896,-0.29831597654562264,-0.28696541066054654,0.001323300738157224,-0.2575882220614544,-0.12140573973324201,-0.22180221186082552,0.11970637160883317,-0.054351141807385324,0.015561959654178675,0.0760806916426513,0.14178674351585013,0.008645533141210375,0.004610951008645533,0.2478386167146974,0.00764217134565115,0.0001650399499339983,0.14792393147945404,0.8195973038673401,0.024671515449881554,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam,35.0,3.08,3.08,3.09,0.3657142857142857,0.5845238529626605,0.16586625931542906,-0.3444829136849551,-0.17137369596785804,0.06641487229521274,-0.18861896096287045,-0.11693700077408926,-0.30854166943365063,0.13044027929526497,0.0013891114724230256,0.009370314842578711,0.0850824587706147,0.13905547226386808,0.015742128935532233,0.017616191904047975,0.27211394302848574,0.00016199404490180314,0.00010632135672494769,0.24619098007678986,0.7051621079444885,0.0483785904943943,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
